0 tensor(31.1894, device='cuda:0')
1 tensor(37.9736, device='cuda:0')
2 tensor(38.9868, device='cuda:0')
3 tensor(41.7181, device='cuda:0')
4 tensor(44.1850, device='cuda:0')
5 tensor(46.9163, device='cuda:0')
6 tensor(46.0793, device='cuda:0')
7 tensor(46.2115, device='cuda:0')
8 tensor(45.1101, device='cuda:0')
9 tensor(50.7048, device='cuda:0')
10 tensor(50.4405, device='cuda:0')
11 tensor(49.0749, device='cuda:0')
12 tensor(51.4978, device='cuda:0')
13 tensor(53.9648, device='cuda:0')
14 tensor(55.1101, device='cuda:0')
15 tensor(56.3436, device='cuda:0')
16 tensor(55.6828, device='cuda:0')
17 tensor(58.9427, device='cuda:0')
18 tensor(58.7225, device='cuda:0')
19 tensor(58.8987, device='cuda:0')
20 tensor(60.9692, device='cuda:0')
21 tensor(61.2775, device='cuda:0')
22 tensor(62.6432, device='cuda:0')
23 tensor(63.5242, device='cuda:0')
24 tensor(63.9648, device='cuda:0')
25 tensor(66.1674, device='cuda:0')
26 tensor(67.7533, device='cuda:0')
27 tensor(67.4449, device='cuda:0')
28 tensor(67.0925, device='cuda:0')
29 tensor(70.1762, device='cuda:0')
30 tensor(72.9956, device='cuda:0')
31 tensor(74.9780, device='cuda:0')
32 tensor(76.3436, device='cuda:0')
33 tensor(76.2996, device='cuda:0')
34 tensor(77.0485, device='cuda:0')
35 tensor(77.0044, device='cuda:0')
36 tensor(78.7665, device='cuda:0')
37 tensor(78.7225, device='cuda:0')
38 tensor(79.2071, device='cuda:0')
39 tensor(80.0881, device='cuda:0')
40 tensor(80.4846, device='cuda:0')
41 tensor(79.7797, device='cuda:0')
42 tensor(80., device='cuda:0')
43 tensor(80.9692, device='cuda:0')
44 tensor(80.5286, device='cuda:0')
45 tensor(81.0573, device='cuda:0')
46 tensor(81.3656, device='cuda:0')
47 tensor(82.9075, device='cuda:0')
48 tensor(82.7753, device='cuda:0')
49 tensor(83.9207, device='cuda:0')
50 tensor(84.2291, device='cuda:0')
51 tensor(83.8767, device='cuda:0')
52 tensor(84.0529, device='cuda:0')
53 tensor(85.1542, device='cuda:0')
54 tensor(84.4053, device='cuda:0')
55 tensor(84.0529, device='cuda:0')
56 tensor(84.2291, device='cuda:0')
57 tensor(86.2115, device='cuda:0')
58 tensor(85.1542, device='cuda:0')
59 tensor(86.2555, device='cuda:0')
60 tensor(86.7401, device='cuda:0')
61 tensor(88.7665, device='cuda:0')
62 tensor(87.8855, device='cuda:0')
63 tensor(88.3700, device='cuda:0')
64 tensor(88.0176, device='cuda:0')
65 tensor(87.9295, device='cuda:0')
66 tensor(88.8106, device='cuda:0')
67 tensor(88.0176, device='cuda:0')
68 tensor(88.5022, device='cuda:0')
69 tensor(89.4273, device='cuda:0')
70 tensor(88.9427, device='cuda:0')
71 tensor(88.6784, device='cuda:0')
72 tensor(89.0749, device='cuda:0')
73 tensor(88.9427, device='cuda:0')
74 tensor(89.2952, device='cuda:0')
75 tensor(89.2511, device='cuda:0')
76 tensor(88.8106, device='cuda:0')
77 tensor(89.8678, device='cuda:0')
78 tensor(88.9868, device='cuda:0')
79 tensor(89.4714, device='cuda:0')
80 tensor(89.9119, device='cuda:0')
81 tensor(89.0749, device='cuda:0')
82 tensor(90.1322, device='cuda:0')
83 tensor(89.2952, device='cuda:0')
84 tensor(89.6916, device='cuda:0')
85 tensor(89.6035, device='cuda:0')
86 tensor(89.2511, device='cuda:0')
87 tensor(89.6916, device='cuda:0')
88 tensor(89.6916, device='cuda:0')
89 tensor(90.3524, device='cuda:0')
90 tensor(90.3524, device='cuda:0')
91 tensor(90.0441, device='cuda:0')
92 tensor(89.2071, device='cuda:0')
93 tensor(89.7797, device='cuda:0')
94 tensor(90.3524, device='cuda:0')
95 tensor(89.7797, device='cuda:0')
96 tensor(90.0441, device='cuda:0')
97 tensor(91.1454, device='cuda:0')
98 tensor(90.0881, device='cuda:0')
99 tensor(90.3084, device='cuda:0')
