09/04/2026 01:22:41 Epoch 39/200 summary:  loss_train=1.21959,  acc_train=90.33%,  loss_val=1.43,  acc_val=64.09% (best: 66.37% @ epoch 28)
09/04/2026 01:24:17 Epoch 40/200 summary:  loss_train=1.21535,  acc_train=90.33%,  loss_val=1.40,  acc_val=64.40% (best: 66.37% @ epoch 28)
09/04/2026 01:25:53 Epoch 41/200 summary:  loss_train=1.20650,  acc_train=90.72%,  loss_val=1.49,  acc_val=62.12% (best: 66.37% @ epoch 28)
09/04/2026 01:27:29 Epoch 42/200 summary:  loss_train=1.20171,  acc_train=90.99%,  loss_val=1.49,  acc_val=62.32% (best: 66.37% @ epoch 28)
09/04/2026 01:29:05 Epoch 43/200 summary:  loss_train=1.19585,  acc_train=91.12%,  loss_val=1.34,  acc_val=66.53% (best: 66.53% @ epoch 43)
09/04/2026 01:30:42 Epoch 44/200 summary:  loss_train=1.18899,  acc_train=91.50%,  loss_val=1.46,  acc_val=63.13% (best: 66.53% @ epoch 43)
09/04/2026 01:32:17 Epoch 45/200 summary:  loss_train=1.18804,  acc_train=91.54%,  loss_val=1.40,  acc_val=64.35% (best: 66.53% @ epoch 43)
09/04/2026 01:33:53 Epoch 46/200 summary:  loss_train=1.18382,  acc_train=91.58%,  loss_val=1.45,  acc_val=63.95% (best: 66.53% @ epoch 43)
09/04/2026 01:35:29 Epoch 47/200 summary:  loss_train=1.17748,  acc_train=91.84%,  loss_val=1.42,  acc_val=64.68% (best: 66.53% @ epoch 43)
09/04/2026 01:37:06 Epoch 48/200 summary:  loss_train=1.16953,  acc_train=91.95%,  loss_val=1.40,  acc_val=65.14% (best: 66.53% @ epoch 43)
09/04/2026 01:38:42 Epoch 49/200 summary:  loss_train=1.17297,  acc_train=91.99%,  loss_val=1.44,  acc_val=64.30% (best: 66.53% @ epoch 43)
09/04/2026 01:40:17 Epoch 50/200 summary:  loss_train=1.16594,  acc_train=92.27%,  loss_val=1.52,  acc_val=62.25% (best: 66.53% @ epoch 43)
09/04/2026 01:41:53 Epoch 51/200 summary:  loss_train=1.16081,  acc_train=92.37%,  loss_val=1.49,  acc_val=62.91% (best: 66.53% @ epoch 43)
09/04/2026 01:43:29 Epoch 52/200 summary:  loss_train=1.15799,  acc_train=92.49%,  loss_val=1.44,  acc_val=64.42% (best: 66.53% @ epoch 43)
09/04/2026 01:45:05 Epoch 53/200 summary:  loss_train=1.15863,  acc_train=92.31%,  loss_val=1.41,  acc_val=64.58% (best: 66.53% @ epoch 43)
09/04/2026 01:46:41 Epoch 54/200 summary:  loss_train=1.14919,  acc_train=92.86%,  loss_val=1.49,  acc_val=62.56% (best: 66.53% @ epoch 43)
09/04/2026 01:48:17 Epoch 55/200 summary:  loss_train=1.15845,  acc_train=92.44%,  loss_val=1.36,  acc_val=65.52% (best: 66.53% @ epoch 43)
09/04/2026 01:49:53 Epoch 56/200 summary:  loss_train=1.15106,  acc_train=92.72%,  loss_val=1.42,  acc_val=64.81% (best: 66.53% @ epoch 43)
09/04/2026 01:51:29 Epoch 57/200 summary:  loss_train=1.13999,  acc_train=93.02%,  loss_val=1.47,  acc_val=63.18% (best: 66.53% @ epoch 43)
09/04/2026 01:53:05 Epoch 58/200 summary:  loss_train=1.14415,  acc_train=92.92%,  loss_val=1.42,  acc_val=64.86% (best: 66.53% @ epoch 43)
09/04/2026 01:54:41 Epoch 59/200 summary:  loss_train=1.13752,  acc_train=93.18%,  loss_val=1.61,  acc_val=60.54% (best: 66.53% @ epoch 43)
09/04/2026 01:56:17 Epoch 60/200 summary:  loss_train=1.14120,  acc_train=93.03%,  loss_val=1.49,  acc_val=62.54% (best: 66.53% @ epoch 43)
09/04/2026 01:57:53 Epoch 61/200 summary:  loss_train=1.14257,  acc_train=92.93%,  loss_val=1.46,  acc_val=63.93% (best: 66.53% @ epoch 43)
09/04/2026 01:59:29 Epoch 62/200 summary:  loss_train=1.12785,  acc_train=93.60%,  loss_val=1.45,  acc_val=64.17% (best: 66.53% @ epoch 43)
09/04/2026 02:01:05 Epoch 63/200 summary:  loss_train=1.13733,  acc_train=93.33%,  loss_val=1.44,  acc_val=64.76% (best: 66.53% @ epoch 43)
